STATE,STATEFP,PLACEFP,PLACE_FIPS,PLACENS,PLACENAME,TYPE,CLASSFP,FUNCSTAT,COUNTIES
CA,06,46436,0646436,2408192,Mayflower Village,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,46492,0646492,2411054,Maywood,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,48648,0648648,2411138,Monrovia,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,48816,0648816,2411144,Montebello,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,48914,0648914,2411146,Monterey Park,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,51820,0651820,2408938,North El Monte,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,52526,0652526,2411281,Norwalk,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,55156,0655156,2411359,Palmdale,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,55380,0655380,2411363,Palos Verdes Estates,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,55618,0655618,2411369,Paramount,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,56000,0656000,2411379,Pasadena,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,56598,0656598,2805260,Pepperdine University,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,56924,0656924,2411417,Pico Rivera,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,58072,0658072,2411454,Pomona,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,59052,0659052,2409114,Quartz Hill,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,59514,0659514,2411516,Rancho Palos Verdes,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,60018,0660018,2411535,Redondo Beach,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,62602,0662602,2410986,Rolling Hills,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,62644,0662644,2410987,Rolling Hills Estates,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,62860,0662860,2583098,Rose Hills,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,62896,0662896,2410998,Rosemead,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,63218,0663218,2409220,Rowland Heights,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,66070,0666070,2411784,San Dimas,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,66140,0666140,2411785,San Fernando,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,67042,0667042,2411787,San Gabriel,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,68224,0668224,2411799,San Marino,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,68308,0668308,2629291,San Pasqual,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,69088,0669088,2411819,Santa Clarita,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,69154,0669154,2411823,Santa Fe Springs,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,70000,0670000,2411825,Santa Monica,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,71806,0671806,2411897,Sierra Madre,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,71876,0671876,2411899,Signal Hill,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,72996,0672996,2411934,South El Monte,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,73080,0673080,2411935,South Gate,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,73167,0673167,2629294,South Monrovia Island,CENSUS DESIGNATED PLACE,U2,S,Los Angeles County
CA,06,73220,0673220,2411940,South Pasadena,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,73276,0673276,2408771,South San Gabriel,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,73290,0673290,2408772,South San Jose Hills,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,73430,0673430,2408778,South Whittier,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,74130,0674130,2583151,Stevenson Ranch,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,77308,0677308,2583157,Sun Village,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,78148,0678148,2412047,Temple City,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,78960,0678960,2583164,Topanga,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,80000,0680000,2412087,Torrance,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,81638,0681638,2409392,Valinda,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,81967,0681967,2409388,Val Verde,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,82422,0682422,2412150,Vernon,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,82667,0682667,2409512,View Park-Windsor Hills,CENSUS DESIGNATED PLACE,U2,S,Los Angeles County
CA,06,82815,0682815,2409516,Vincent,CENSUS DESIGNATED PLACE,U2,S,Los Angeles County
CA,06,83332,0683332,2412173,Walnut,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,83402,0683402,2409528,Walnut Park,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,84116,0684116,2409544,West Athens,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,84144,0684144,2409546,West Carson,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,84200,0684200,2412219,West Covina,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,84410,0684410,2412221,West Hollywood,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,84438,0684438,2412235,Westlake Village,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,84592,0684592,2409575,Westmont,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,84774,0684774,2409564,West Puente Valley,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,84780,0684780,2409548,West Rancho Dominguez,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
CA,06,84921,0684921,2409570,West Whittier-Los Nietos,CENSUS DESIGNATED PLACE,U2,S,Los Angeles County
CA,06,85292,0685292,2412260,Whittier,INCORPORATED PLACE,C1,A,Los Angeles County
CA,06,85614,0685614,2409601,Willowbrook,CENSUS DESIGNATED PLACE,U1,S,Los Angeles County
