YEAR,FIPS,PLACE,GEO_ID,NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M
2013,600212,Acton,6037910205,Census Tract 9102.05,379.0,968.0,1050.0,900.0,1231.0,1155.0
2013,600212,Acton,6037910804,Census Tract 9108.04,1125.0,364.0,1370.0,242.0,1725.0,766.0
2013,600212,Acton,6037910805,Census Tract 9108.05,647.0,473.0,1310.0,585.0,1853.0,573.0
2013,600212,Acton,6037910812,Census Tract 9108.12,,,,,,
2013,600212,Acton,6037910813,Census Tract 9108.13,586.0,733.0,1083.0,567.0,1223.0,1487.0
2013,600394,Agoura Hills,6037800324,Census Tract 8003.24,1680.0,635.0,2001.0,,2001.0,
2013,600394,Agoura Hills,6037800326,Census Tract 8003.26,1630.0,149.0,1940.0,230.0,2001.0,
2013,600394,Agoura Hills,6037800327,Census Tract 8003.27,1371.0,115.0,1683.0,270.0,2001.0,
2013,600394,Agoura Hills,6037800328,Census Tract 8003.28,1490.0,150.0,1769.0,135.0,2001.0,
2013,600394,Agoura Hills,6037800329,Census Tract 8003.29,1626.0,60.0,1868.0,83.0,2001.0,
2013,600394,Agoura Hills,6037800332,Census Tract 8003.32,1618.0,158.0,1826.0,230.0,2001.0,
2013,600450,Agua Dulce,6037910804,Census Tract 9108.04,1125.0,364.0,1370.0,242.0,1725.0,766.0
2013,600450,Agua Dulce,6037910808,Census Tract 9108.08,1552.0,420.0,1701.0,111.0,1851.0,56.0
2013,600450,Agua Dulce,6037910810,Census Tract 9108.10,99.0,,99.0,,528.0,1807.0
2013,600450,Agua Dulce,6037910813,Census Tract 9108.13,586.0,733.0,1083.0,567.0,1223.0,1487.0
2013,600884,Alhambra,6037480302,Census Tract 4803.02,862.0,98.0,1151.0,107.0,1500.0,127.0
2013,600884,Alhambra,6037480303,Census Tract 4803.03,977.0,59.0,1175.0,76.0,1413.0,93.0
2013,600884,Alhambra,6037480304,Census Tract 4803.04,954.0,45.0,1142.0,56.0,1411.0,110.0
2013,600884,Alhambra,6037480400,Census Tract 4804,1047.0,52.0,1221.0,72.0,1591.0,223.0
2013,600884,Alhambra,6037480500,Census Tract 4805,1098.0,77.0,1430.0,161.0,1896.0,185.0
2013,600884,Alhambra,6037480704,Census Tract 4807.04,1095.0,54.0,1325.0,78.0,1662.0,99.0
2013,600884,Alhambra,6037480802,Census Tract 4808.02,747.0,159.0,1047.0,164.0,1278.0,173.0
2013,600884,Alhambra,6037480803,Census Tract 4808.03,836.0,67.0,1019.0,138.0,1327.0,201.0
2013,600884,Alhambra,6037480804,Census Tract 4808.04,1006.0,62.0,1241.0,98.0,1651.0,154.0
2013,600884,Alhambra,6037480901,Census Tract 4809.01,931.0,36.0,1060.0,51.0,1215.0,44.0
2013,600884,Alhambra,6037480902,Census Tract 4809.02,920.0,41.0,1060.0,64.0,1233.0,67.0
2013,600884,Alhambra,6037480903,Census Tract 4809.03,901.0,93.0,1034.0,125.0,1304.0,139.0
2013,600884,Alhambra,6037481001,Census Tract 4810.01,882.0,53.0,1001.0,150.0,1354.0,81.0
2013,600884,Alhambra,6037481002,Census Tract 4810.02,924.0,71.0,1098.0,53.0,1259.0,105.0
2013,600884,Alhambra,6037481500,Census Tract 4815,860.0,162.0,1174.0,248.0,1561.0,224.0
2013,600884,Alhambra,6037481603,Census Tract 4816.03,973.0,73.0,1128.0,49.0,1428.0,324.0
2013,600884,Alhambra,6037481604,Census Tract 4816.04,964.0,62.0,1136.0,51.0,1347.0,78.0
2013,600884,Alhambra,6037481605,Census Tract 4816.05,946.0,76.0,1170.0,96.0,1585.0,222.0
2013,600884,Alhambra,6037481606,Census Tract 4816.06,1023.0,50.0,1161.0,46.0,1372.0,104.0
2013,600884,Alhambra,6037481800,Census Tract 4818,981.0,301.0,1438.0,398.0,1875.0,362.0
