YEAR,FIPS,PLACE,GEO_ID,NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M
2022,600212,Acton,6037910213,Census Tract 9102.13,,,2079.0,1094.0,2289.0,192.0
2022,600212,Acton,6037910804,Census Tract 9108.04,,,1538.0,313.0,1806.0,281.0
2022,600212,Acton,6037910814,Census Tract 9108.14,1081.0,270.0,,,,
2022,600212,Acton,6037910815,Census Tract 9108.15,350.0,281.0,,,1993.0,1338.0
2022,600394,Agoura Hills,6037800324,Census Tract 8003.24,3069.0,504.0,3501.0,,3501.0,
2022,600394,Agoura Hills,6037800328,Census Tract 8003.28,2683.0,1524.0,3501.0,,3501.0,
2022,600394,Agoura Hills,6037800333,Census Tract 8003.33,2534.0,176.0,2867.0,176.0,3272.0,187.0
2022,600394,Agoura Hills,6037800334,Census Tract 8003.34,1668.0,133.0,1926.0,309.0,3501.0,
2022,600394,Agoura Hills,6037800335,Census Tract 8003.35,2345.0,695.0,2817.0,324.0,3501.0,
2022,600394,Agoura Hills,6037800336,Census Tract 8003.36,2594.0,900.0,2813.0,326.0,3063.0,400.0
2022,600394,Agoura Hills,6037800338,Census Tract 8003.38,3057.0,2345.0,3501.0,,3501.0,
2022,600450,Agua Dulce,6037910808,Census Tract 9108.08,1894.0,404.0,2197.0,377.0,2467.0,403.0
2022,600450,Agua Dulce,6037910810,Census Tract 9108.10,,,3501.0,,3501.0,
2022,600450,Agua Dulce,6037910814,Census Tract 9108.14,1081.0,270.0,,,,
2022,600884,Alhambra,6037480302,Census Tract 4803.02,1310.0,163.0,1673.0,104.0,1975.0,146.0
2022,600884,Alhambra,6037480303,Census Tract 4803.03,1485.0,90.0,1750.0,82.0,2029.0,209.0
2022,600884,Alhambra,6037480304,Census Tract 4803.04,1319.0,38.0,1533.0,112.0,1950.0,121.0
2022,600884,Alhambra,6037480400,Census Tract 4804,1451.0,362.0,1764.0,104.0,2116.0,285.0
2022,600884,Alhambra,6037480802,Census Tract 4808.02,883.0,390.0,1328.0,378.0,2019.0,560.0
2022,600884,Alhambra,6037480803,Census Tract 4808.03,1056.0,359.0,1662.0,127.0,1941.0,119.0
2022,600884,Alhambra,6037480804,Census Tract 4808.04,1374.0,92.0,1660.0,95.0,1951.0,86.0
2022,600884,Alhambra,6037480901,Census Tract 4809.01,1327.0,91.0,1601.0,126.0,1915.0,88.0
2022,600884,Alhambra,6037480902,Census Tract 4809.02,1313.0,60.0,1541.0,153.0,1868.0,99.0
2022,600884,Alhambra,6037480903,Census Tract 4809.03,1181.0,145.0,1481.0,212.0,1816.0,120.0
2022,600884,Alhambra,6037481001,Census Tract 4810.01,1252.0,189.0,1524.0,233.0,2248.0,287.0
2022,600884,Alhambra,6037481002,Census Tract 4810.02,1479.0,166.0,1884.0,144.0,2400.0,207.0
2022,600884,Alhambra,6037481500,Census Tract 4815,1225.0,640.0,1748.0,169.0,2049.0,319.0
2022,600884,Alhambra,6037481603,Census Tract 4816.03,1202.0,146.0,1502.0,206.0,1993.0,212.0
2022,600884,Alhambra,6037481604,Census Tract 4816.04,1438.0,114.0,1794.0,161.0,2176.0,140.0
2022,600884,Alhambra,6037481605,Census Tract 4816.05,1244.0,143.0,1470.0,127.0,1773.0,98.0
2022,600884,Alhambra,6037481606,Census Tract 4816.06,1349.0,118.0,1683.0,85.0,1997.0,131.0
2022,600884,Alhambra,6037481800,Census Tract 4818,1449.0,343.0,2021.0,548.0,2513.0,496.0
2022,600884,Alhambra,6037481901,Census Tract 4819.01,1471.0,493.0,1762.0,97.0,2062.0,216.0
2022,600884,Alhambra,6037481902,Census Tract 4819.02,1562.0,117.0,1847.0,139.0,2306.0,323.0
2022,601150,Alondra Park,6037603702,Census Tract 6037.02,,,2755.0,636.0,3501.0,
2022,601150,Alondra Park,6037603706,Census Tract 6037.06,1256.0,109.0,1496.0,127.0,1785.0,96.0
2022,601290,Altadena,6037460101,Census Tract 4601.01,1700.0,234.0,1957.0,328.0,2227.0,334.0
2022,601290,Altadena,6037460200,Census Tract 4602,1566.0,173.0,1869.0,525.0,2725.0,457.0
2022,601290,Altadena,6037460301,Census Tract 4603.01,1193.0,865.0,2510.0,1205.0,2844.0,181.0
2022,601290,Altadena,6037460302,Census Tract 4603.02,1482.0,380.0,1968.0,427.0,2653.0,405.0
2022,601290,Altadena,6037460401,Census Tract 4604.01,1599.0,124.0,1840.0,150.0,2298.0,592.0
2022,601290,Altadena,6037461000,Census Tract 4610,1327.0,123.0,1577.0,272.0,2300.0,1114.0
2022,601290,Altadena,6037461100,Census Tract 4611,1510.0,235.0,1860.0,163.0,2259.0,176.0
2022,601290,Altadena,6037461200,Census Tract 4612,1627.0,400.0,1993.0,1338.0,3347.0,838.0
2022,601290,Altadena,6037461300,Census Tract 4613,1395.0,237.0,2068.0,507.0,2690.0,288.0
2022,601290,Altadena,6037462500,Census Tract 4625,1709.0,176.0,2162.0,310.0,3116.0,987.0
2022,602462,Arcadia,6037430400,Census Tract 4304,1207.0,708.0,1977.0,583.0,2694.0,760.0
2022,602462,Arcadia,6037430600,Census Tract 4306,2174.0,1077.0,3501.0,,3501.0,
2022,602462,Arcadia,6037430701,Census Tract 4307.01,1562.0,105.0,1860.0,139.0,2394.0,601.0
2022,602462,Arcadia,6037430721,Census Tract 4307.21,1183.0,172.0,1594.0,192.0,1897.0,125.0
2022,602462,Arcadia,6037430723,Census Tract 4307.23,1530.0,109.0,1822.0,90.0,2222.0,166.0
2022,602462,Arcadia,6037430724,Census Tract 4307.24,1712.0,87.0,2061.0,148.0,2424.0,101.0
2022,602462,Arcadia,6037430801,Census Tract 4308.01,1345.0,126.0,1795.0,469.0,2290.0,180.0
2022,602462,Arcadia,6037430802,Census Tract 4308.02,1151.0,82.0,1705.0,591.0,2261.0,457.0
2022,602462,Arcadia,6037430803,Census Tract 4308.03,1321.0,575.0,1910.0,330.0,3388.0,1400.0
