YEAR,FIPS,PLACE,GEO_ID,NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M
2023,600212,Acton,6037910213,Census Tract 9102.13,2101.0,52.0,2234.0,35.0,2367.0,17.0
2023,600212,Acton,6037910804,Census Tract 9108.04,,,1662.0,803.0,1831.0,125.0
2023,600212,Acton,6037910814,Census Tract 9108.14,1087.0,274.0,,,2969.0,2616.0
2023,600212,Acton,6037910815,Census Tract 9108.15,,,,,2463.0,1808.0
2023,600394,Agoura Hills,6037800324,Census Tract 8003.24,2882.0,350.0,3501.0,,3501.0,
2023,600394,Agoura Hills,6037800328,Census Tract 8003.28,2744.0,353.0,3501.0,,3501.0,
2023,600394,Agoura Hills,6037800333,Census Tract 8003.33,2592.0,105.0,2876.0,146.0,3306.0,238.0
2023,600394,Agoura Hills,6037800334,Census Tract 8003.34,1620.0,122.0,1825.0,224.0,2150.0,2055.0
2023,600394,Agoura Hills,6037800335,Census Tract 8003.35,2406.0,637.0,2764.0,190.0,3230.0,740.0
2023,600394,Agoura Hills,6037800336,Census Tract 8003.36,,,3036.0,1517.0,3268.0,233.0
2023,600394,Agoura Hills,6037800338,Census Tract 8003.38,3118.0,2366.0,3501.0,,3501.0,
2023,600450,Agua Dulce,6037910808,Census Tract 9108.08,1896.0,420.0,2194.0,349.0,2458.0,1375.0
2023,600450,Agua Dulce,6037910810,Census Tract 9108.10,3501.0,,3501.0,,3501.0,
2023,600450,Agua Dulce,6037910814,Census Tract 9108.14,1087.0,274.0,,,2969.0,2616.0
2023,600884,Alhambra,6037480302,Census Tract 4803.02,1402.0,146.0,1761.0,124.0,2190.0,226.0
2023,600884,Alhambra,6037480303,Census Tract 4803.03,1499.0,112.0,1755.0,81.0,2038.0,221.0
2023,600884,Alhambra,6037480304,Census Tract 4803.04,1390.0,56.0,1728.0,111.0,2146.0,117.0
2023,600884,Alhambra,6037480400,Census Tract 4804,1622.0,148.0,1969.0,174.0,2341.0,139.0
2023,600884,Alhambra,6037480802,Census Tract 4808.02,,,1201.0,791.0,1985.0,626.0
2023,600884,Alhambra,6037480803,Census Tract 4808.03,1507.0,419.0,1750.0,97.0,1993.0,191.0
