YEAR,FIPS,PLACE,GEO_ID,NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M
2017,600212,Acton,6037910205,Census Tract 9102.05,342.0,321.0,,,1540.0,464.0
2017,600212,Acton,6037910804,Census Tract 9108.04,1049.0,556.0,1222.0,646.0,1904.0,565.0
2017,600212,Acton,6037910805,Census Tract 9108.05,538.0,114.0,,,1678.0,370.0
2017,600212,Acton,6037910812,Census Tract 9108.12,,,,,,
2017,600212,Acton,6037910813,Census Tract 9108.13,1017.0,318.0,,,2443.0,1018.0
2017,600394,Agoura Hills,6037800324,Census Tract 8003.24,1471.0,390.0,2088.0,537.0,2780.0,479.0
2017,600394,Agoura Hills,6037800326,Census Tract 8003.26,1533.0,757.0,2046.0,275.0,2388.0,196.0
2017,600394,Agoura Hills,6037800327,Census Tract 8003.27,1685.0,190.0,2136.0,148.0,2471.0,164.0
2017,600394,Agoura Hills,6037800328,Census Tract 8003.28,1717.0,114.0,2040.0,156.0,2329.0,122.0
2017,600394,Agoura Hills,6037800329,Census Tract 8003.29,1652.0,57.0,1872.0,87.0,2306.0,313.0
2017,600394,Agoura Hills,6037800332,Census Tract 8003.32,1779.0,1665.0,3436.0,1022.0,3501.0,
2017,600450,Agua Dulce,6037910804,Census Tract 9108.04,1049.0,556.0,1222.0,646.0,1904.0,565.0
2017,600450,Agua Dulce,6037910808,Census Tract 9108.08,1628.0,142.0,1853.0,205.0,2279.0,682.0
2017,600450,Agua Dulce,6037910810,Census Tract 9108.10,,,,,,
2017,600450,Agua Dulce,6037910813,Census Tract 9108.13,1017.0,318.0,,,2443.0,1018.0
2017,600884,Alhambra,6037480302,Census Tract 4803.02,1025.0,76.0,1262.0,95.0,1561.0,139.0
2017,600884,Alhambra,6037480303,Census Tract 4803.03,999.0,115.0,1169.0,46.0,1382.0,57.0
2017,600884,Alhambra,6037480304,Census Tract 4803.04,885.0,75.0,1146.0,61.0,1455.0,89.0
2017,600884,Alhambra,6037480400,Census Tract 4804,1092.0,96.0,1340.0,67.0,1582.0,232.0
2017,600884,Alhambra,6037480500,Census Tract 4805,1155.0,90.0,1423.0,101.0,1836.0,160.0
2017,600884,Alhambra,6037480704,Census Tract 4807.04,1177.0,58.0,1501.0,97.0,1854.0,84.0
2017,600884,Alhambra,6037480802,Census Tract 4808.02,923.0,83.0,1080.0,237.0,1439.0,276.0
2017,600884,Alhambra,6037480803,Census Tract 4808.03,941.0,139.0,1207.0,138.0,1482.0,184.0
2017,600884,Alhambra,6037480804,Census Tract 4808.04,966.0,76.0,1254.0,80.0,1462.0,74.0
2017,600884,Alhambra,6037480901,Census Tract 4809.01,1018.0,50.0,1187.0,55.0,1391.0,65.0
2017,600884,Alhambra,6037480902,Census Tract 4809.02,976.0,59.0,1128.0,43.0,1325.0,152.0
2017,600884,Alhambra,6037480903,Census Tract 4809.03,925.0,68.0,1122.0,75.0,1466.0,174.0
2017,600884,Alhambra,6037481001,Census Tract 4810.01,930.0,139.0,1279.0,75.0,1454.0,52.0
2017,600884,Alhambra,6037481002,Census Tract 4810.02,1009.0,71.0,1167.0,71.0,1386.0,106.0
2017,600884,Alhambra,6037481500,Census Tract 4815,1031.0,81.0,1195.0,101.0,1457.0,177.0
2017,600884,Alhambra,6037481603,Census Tract 4816.03,1054.0,78.0,1314.0,133.0,1728.0,192.0
2017,600884,Alhambra,6037481604,Census Tract 4816.04,1004.0,61.0,1171.0,53.0,1450.0,130.0
2017,600884,Alhambra,6037481605,Census Tract 4816.05,943.0,57.0,1211.0,121.0,1575.0,268.0
2017,600884,Alhambra,6037481606,Census Tract 4816.06,1035.0,51.0,1218.0,71.0,1439.0,72.0
2017,600884,Alhambra,6037481800,Census Tract 4818,688.0,545.0,1484.0,500.0,1837.0,220.0
2017,600884,Alhambra,6037481901,Census Tract 4819.01,1140.0,90.0,1428.0,149.0,1865.0,193.0
2017,600884,Alhambra,6037481902,Census Tract 4819.02,956.0,109.0,1146.0,71.0,1396.0,134.0
2017,601150,Alondra Park,6037603702,Census Tract 6037.02,1107.0,212.0,1371.0,474.0,2153.0,605.0
2017,601150,Alondra Park,6037603704,Census Tract 6037.04,916.0,47.0,1057.0,73.0,1277.0,102.0
2017,601290,Altadena,6037460100,Census Tract 4601,1150.0,180.0,1479.0,662.0,2340.0,852.0
2017,601290,Altadena,6037460200,Census Tract 4602,1267.0,579.0,1757.0,218.0,2322.0,572.0
2017,601290,Altadena,6037460301,Census Tract 4603.01,1082.0,88.0,1241.0,771.0,2092.0,412.0
2017,601290,Altadena,6037460302,Census Tract 4603.02,1020.0,796.0,1462.0,563.0,1855.0,166.0
2017,601290,Altadena,6037460900,Census Tract 4609,1110.0,51.0,1318.0,183.0,1754.0,164.0
2017,601290,Altadena,6037461000,Census Tract 4610,1115.0,134.0,1377.0,111.0,1781.0,229.0
2017,601290,Altadena,6037461100,Census Tract 4611,1061.0,111.0,1363.0,132.0,1725.0,108.0
2017,601290,Altadena,6037461200,Census Tract 4612,1147.0,262.0,1543.0,233.0,1934.0,580.0
2017,601290,Altadena,6037461300,Census Tract 4613,900.0,302.0,1316.0,247.0,1893.0,273.0
2017,601290,Altadena,6037462500,Census Tract 4625,993.0,116.0,1498.0,373.0,2110.0,252.0
2017,602462,Arcadia,6037430400,Census Tract 4304,1375.0,494.0,2617.0,564.0,3461.0,914.0
2017,602462,Arcadia,6037430600,Census Tract 4306,1931.0,405.0,2387.0,470.0,2933.0,1342.0
2017,602462,Arcadia,6037430701,Census Tract 4307.01,1103.0,38.0,1267.0,116.0,2081.0,545.0
