YEAR,FIPS,PLACE,GEO_ID,NAME,B25057_001E,B25057_001M,B25058_001E,B25058_001M,B25059_001E,B25059_001M
2019,600212,Acton,6037910205,Census Tract 9102.05,378.0,237.0,,,1704.0,538.0
2019,600212,Acton,6037910804,Census Tract 9108.04,1266.0,355.0,1375.0,69.0,1484.0,279.0
2019,600212,Acton,6037910805,Census Tract 9108.05,505.0,332.0,,,1317.0,850.0
2019,600212,Acton,6037910812,Census Tract 9108.12,1702.0,193.0,1904.0,284.0,2172.0,338.0
2019,600212,Acton,6037910813,Census Tract 9108.13,,,2333.0,421.0,2654.0,440.0
2019,600394,Agoura Hills,6037800324,Census Tract 8003.24,2289.0,770.0,3002.0,394.0,3251.0,114.0
2019,600394,Agoura Hills,6037800326,Census Tract 8003.26,1448.0,849.0,2081.0,259.0,2437.0,536.0
2019,600394,Agoura Hills,6037800327,Census Tract 8003.27,1946.0,299.0,2244.0,94.0,2519.0,260.0
2019,600394,Agoura Hills,6037800328,Census Tract 8003.28,1732.0,158.0,2092.0,236.0,2492.0,237.0
2019,600394,Agoura Hills,6037800329,Census Tract 8003.29,1885.0,164.0,2254.0,168.0,2706.0,349.0
2019,600394,Agoura Hills,6037800332,Census Tract 8003.32,3501.0,,3501.0,,3501.0,
2019,600450,Agua Dulce,6037910804,Census Tract 9108.04,1266.0,355.0,1375.0,69.0,1484.0,279.0
2019,600450,Agua Dulce,6037910808,Census Tract 9108.08,1691.0,141.0,1882.0,273.0,2219.0,576.0
2019,600450,Agua Dulce,6037910810,Census Tract 9108.10,,,,,2964.0,460.0
2019,600450,Agua Dulce,6037910813,Census Tract 9108.13,,,2333.0,421.0,2654.0,440.0
2019,600884,Alhambra,6037480302,Census Tract 4803.02,1088.0,46.0,1366.0,121.0,1773.0,87.0
2019,600884,Alhambra,6037480303,Census Tract 4803.03,1198.0,93.0,1430.0,70.0,1798.0,102.0
2019,600884,Alhambra,6037480304,Census Tract 4803.04,1008.0,50.0,1260.0,65.0,1584.0,92.0
2019,600884,Alhambra,6037480400,Census Tract 4804,1244.0,148.0,1463.0,116.0,1797.0,128.0
2019,600884,Alhambra,6037480500,Census Tract 4805,1118.0,253.0,1606.0,255.0,2156.0,280.0
2019,600884,Alhambra,6037480704,Census Tract 4807.04,1379.0,109.0,1707.0,71.0,1997.0,183.0
2019,600884,Alhambra,6037480802,Census Tract 4808.02,933.0,34.0,999.0,442.0,1659.0,417.0
2019,600884,Alhambra,6037480803,Census Tract 4808.03,963.0,222.0,1335.0,107.0,1625.0,204.0
2019,600884,Alhambra,6037480804,Census Tract 4808.04,1098.0,83.0,1355.0,69.0,1696.0,143.0
2019,600884,Alhambra,6037480901,Census Tract 4809.01,1141.0,80.0,1368.0,80.0,1649.0,125.0
2019,600884,Alhambra,6037480902,Census Tract 4809.02,1043.0,80.0,1289.0,93.0,1593.0,144.0
2019,600884,Alhambra,6037480903,Census Tract 4809.03,1104.0,70.0,1363.0,107.0,1712.0,100.0
2019,600884,Alhambra,6037481001,Census Tract 4810.01,1072.0,170.0,1433.0,137.0,1968.0,260.0
2019,600884,Alhambra,6037481002,Census Tract 4810.02,1187.0,137.0,1415.0,94.0,1857.0,247.0
2019,600884,Alhambra,6037481500,Census Tract 4815,1215.0,199.0,1603.0,264.0,2054.0,268.0
2019,600884,Alhambra,6037481603,Census Tract 4816.03,1121.0,78.0,1426.0,154.0,1956.0,244.0
2019,600884,Alhambra,6037481604,Census Tract 4816.04,1156.0,61.0,1350.0,78.0,1630.0,220.0
2019,600884,Alhambra,6037481605,Census Tract 4816.05,1021.0,96.0,1240.0,107.0,1583.0,247.0
2019,600884,Alhambra,6037481606,Census Tract 4816.06,1129.0,65.0,1363.0,64.0,1658.0,116.0
2019,600884,Alhambra,6037481800,Census Tract 4818,628.0,306.0,1100.0,986.0,2083.0,446.0
2019,600884,Alhambra,6037481901,Census Tract 4819.01,1313.0,110.0,1550.0,152.0,1893.0,132.0
2019,600884,Alhambra,6037481902,Census Tract 4819.02,1061.0,140.0,1311.0,149.0,1669.0,150.0
2019,601150,Alondra Park,6037603702,Census Tract 6037.02,1295.0,149.0,1509.0,498.0,2394.0,644.0
2019,601150,Alondra Park,6037603704,Census Tract 6037.04,976.0,38.0,1186.0,83.0,1444.0,81.0
2019,601290,Altadena,6037460100,Census Tract 4601,1232.0,189.0,1467.0,279.0,1843.0,335.0
2019,601290,Altadena,6037460200,Census Tract 4602,1348.0,164.0,1698.0,332.0,2303.0,838.0
2019,601290,Altadena,6037460301,Census Tract 4603.01,880.0,374.0,1447.0,957.0,2436.0,451.0
2019,601290,Altadena,6037460302,Census Tract 4603.02,1183.0,220.0,1607.0,281.0,2077.0,814.0
2019,601290,Altadena,6037460900,Census Tract 4609,1171.0,129.0,1455.0,125.0,1967.0,264.0
2019,601290,Altadena,6037461000,Census Tract 4610,1072.0,248.0,1408.0,135.0,1997.0,349.0
2019,601290,Altadena,6037461100,Census Tract 4611,1240.0,218.0,1490.0,134.0,1821.0,96.0
2019,601290,Altadena,6037461200,Census Tract 4612,1464.0,214.0,1686.0,121.0,1889.0,86.0
2019,601290,Altadena,6037461300,Census Tract 4613,1164.0,138.0,1572.0,215.0,2216.0,383.0
2019,601290,Altadena,6037462500,Census Tract 4625,1121.0,137.0,1688.0,252.0,2233.0,297.0
2019,602462,Arcadia,6037430400,Census Tract 4304,1438.0,454.0,2554.0,1104.0,3299.0,582.0
2019,602462,Arcadia,6037430600,Census Tract 4306,2197.0,900.0,3028.0,1282.0,3501.0,
2019,602462,Arcadia,6037430701,Census Tract 4307.01,1225.0,99.0,1462.0,171.0,2495.0,1051.0
2019,602462,Arcadia,6037430721,Census Tract 4307.21,1312.0,78.0,1513.0,119.0,1822.0,89.0
2019,602462,Arcadia,6037430723,Census Tract 4307.23,1318.0,75.0,1570.0,153.0,1964.0,193.0
2019,602462,Arcadia,6037430724,Census Tract 4307.24,1243.0,86.0,1509.0,145.0,1972.0,233.0
2019,602462,Arcadia,6037430801,Census Tract 4308.01,1159.0,59.0,1434.0,136.0,1813.0,110.0
2019,602462,Arcadia,6037430802,Census Tract 4308.02,1278.0,484.0,1774.0,171.0,2355.0,1623.0
2019,602462,Arcadia,6037430803,Census Tract 4308.03,1346.0,243.0,1774.0,384.0,2786.0,384.0
2019,602462,Arcadia,6037430902,Census Tract 4309.02,1236.0,173.0,1609.0,163.0,2026.0,208.0
2019,602462,Arcadia,6037431300,Census Tract 4313,1088.0,673.0,1467.0,191.0,1916.0,215.0
2019,602462,Arcadia,6037431400,Census Tract 4314,960.0,412.0,1239.0,379.0,2206.0,256.0
2019,602462,Arcadia,6037431502,Census Tract 4315.02,1197.0,415.0,1735.0,133.0,2075.0,248.0
2019,602462,Arcadia,6037431600,Census Tract 4316,892.0,307.0,2016.0,892.0,2473.0,416.0
2019,602462,Arcadia,6037431700,Census Tract 4317,,,1180.0,277.0,1988.0,807.0
2019,602462,Arcadia,6037431800,Census Tract 4318,1237.0,192.0,1607.0,160.0,1930.0,157.0
2019,602462,Arcadia,6037431900,Census Tract 4319,1087.0,156.0,1388.0,88.0,1848.0,243.0
2019,602462,Arcadia,6037432500,Census Tract 4325,960.0,105.0,1300.0,98.0,1465.0,85.0
2019,602462,Arcadia,6037463101,Census Tract 4631.01,1136.0,148.0,1681.0,155.0,2103.0,170.0
2019,602462,Arcadia,6037480011,Census Tract 4800.11,1140.0,54.0,1375.0,88.0,1769.0,133.0
2019,602896,Artesia,6037554514,Census Tract 5545.14,1663.0,142.0,2000.0,261.0,2578.0,241.0
2019,602896,Artesia,6037554515,Census Tract 5545.15,2102.0,934.0,2601.0,278.0,2825.0,110.0
2019,602896,Artesia,6037554516,Census Tract 5545.16,2339.0,411.0,2646.0,183.0,2856.0,116.0
2019,602896,Artesia,6037554521,Census Tract 5545.21,1485.0,137.0,1831.0,138.0,2564.0,339.0
2019,602896,Artesia,6037554801,Census Tract 5548.01,1191.0,141.0,1489.0,197.0,1966.0,561.0
2019,602896,Artesia,6037554802,Census Tract 5548.02,1261.0,113.0,1483.0,115.0,1856.0,117.0
2019,602896,Artesia,6037554900,Census Tract 5549,1270.0,111.0,1543.0,172.0,1965.0,261.0
2019,603274,Avalon,6037599000,Census Tract 5990,922.0,189.0,1405.0,157.0,1783.0,131.0
2019,603274,Avalon,6037599100,Census Tract 5991,,,1674.0,149.0,1837.0,74.0
2019,603344,Avocado Heights,6037408202,Census Tract 4082.02,875.0,106.0,1051.0,268.0,1448.0,268.0
2019,603344,Avocado Heights,6037408301,Census Tract 4083.01,804.0,423.0,1222.0,195.0,1527.0,235.0
2019,603344,Avocado Heights,6037408302,Census Tract 4083.02,1295.0,250.0,1931.0,696.0,2306.0,231.0
2019,603344,Avocado Heights,6037408303,Census Tract 4083.03,1466.0,270.0,1831.0,371.0,2182.0,301.0
2019,603344,Avocado Heights,6037408402,Census Tract 4084.02,1888.0,612.0,2512.0,448.0,2756.0,221.0
2019,603386,Azusa,6037400501,Census Tract 4005.01,,,3417.0,1862.0,3501.0,
2019,603386,Azusa,6037400602,Census Tract 4006.02,1022.0,131.0,1299.0,109.0,1520.0,265.0
2019,603386,Azusa,6037400603,Census Tract 4006.03,1103.0,216.0,1500.0,219.0,1957.0,230.0
2019,603386,Azusa,6037400604,Census Tract 4006.04,1103.0,123.0,1323.0,156.0,1628.0,267.0
2019,603386,Azusa,6037400800,Census Tract 4008,1229.0,846.0,2267.0,468.0,3000.0,397.0
2019,603386,Azusa,6037404000,Census Tract 4040,1141.0,504.0,1445.0,133.0,1741.0,108.0
2019,603386,Azusa,6037404100,Census Tract 4041,1305.0,107.0,1482.0,141.0,1776.0,122.0
2019,603386,Azusa,6037404201,Census Tract 4042.01,1031.0,556.0,1188.0,87.0,1545.0,272.0
2019,603386,Azusa,6037404202,Census Tract 4042.02,1031.0,95.0,1285.0,101.0,1533.0,191.0
2019,603386,Azusa,6037404301,Census Tract 4043.01,1110.0,45.0,1294.0,74.0,1486.0,94.0
2019,603386,Azusa,6037404302,Census Tract 4043.02,1324.0,161.0,1564.0,164.0,1782.0,90.0
2019,603386,Azusa,6037404401,Census Tract 4044.01,1063.0,127.0,1300.0,113.0,1485.0,139.0
2019,603386,Azusa,6037404402,Census Tract 4044.02,1155.0,79.0,1461.0,220.0,1877.0,186.0
2019,603386,Azusa,6037404501,Census Tract 4045.01,1132.0,124.0,1382.0,83.0,1653.0,141.0
2019,603386,Azusa,6037404503,Census Tract 4045.03,,,1662.0,122.0,1875.0,72.0
2019,603386,Azusa,6037404504,Census Tract 4045.04,1111.0,87.0,1315.0,61.0,1453.0,56.0
2019,603386,Azusa,6037930301,Census Tract 9303.01,868.0,312.0,,,2703.0,2180.0
2019,603666,Baldwin Park,6037404701,Census Tract 4047.01,1077.0,295.0,1382.0,99.0,1752.0,401.0
2019,603666,Baldwin Park,6037404702,Census Tract 4047.02,1207.0,212.0,1445.0,86.0,1754.0,97.0
2019,603666,Baldwin Park,6037404703,Census Tract 4047.03,1091.0,42.0,1265.0,80.0,1521.0,212.0
2019,603666,Baldwin Park,6037404801,Census Tract 4048.01,1056.0,120.0,1400.0,116.0,1769.0,122.0
2019,603666,Baldwin Park,6037404802,Census Tract 4048.02,1039.0,197.0,1372.0,192.0,1688.0,144.0
2019,603666,Baldwin Park,6037404803,Census Tract 4048.03,889.0,208.0,1211.0,202.0,1440.0,149.0
2019,603666,Baldwin Park,6037404901,Census Tract 4049.01,936.0,96.0,1163.0,207.0,1617.0,301.0
2019,603666,Baldwin Park,6037404902,Census Tract 4049.02,1102.0,372.0,1538.0,225.0,1904.0,207.0
2019,603666,Baldwin Park,6037404903,Census Tract 4049.03,1064.0,167.0,1445.0,291.0,1890.0,254.0
2019,603666,Baldwin Park,6037405001,Census Tract 4050.01,1043.0,165.0,1299.0,121.0,1518.0,216.0
2019,603666,Baldwin Park,6037405002,Census Tract 4050.02,995.0,156.0,1213.0,130.0,1432.0,110.0
2019,603666,Baldwin Park,6037405101,Census Tract 4051.01,1033.0,140.0,1378.0,193.0,1868.0,305.0
2019,603666,Baldwin Park,6037405102,Census Tract 4051.02,1025.0,211.0,1324.0,140.0,1658.0,227.0
2019,603666,Baldwin Park,6037405201,Census Tract 4052.01,970.0,159.0,1324.0,117.0,1660.0,278.0
2019,603666,Baldwin Park,6037405202,Census Tract 4052.02,893.0,95.0,1171.0,156.0,1516.0,207.0
2019,603666,Baldwin Park,6037405203,Census Tract 4052.03,1460.0,160.0,1696.0,143.0,1927.0,150.0
2019,603666,Baldwin Park,6037406901,Census Tract 4069.01,1256.0,471.0,1360.0,45.0,1465.0,51.0
2019,603666,Baldwin Park,6037407001,Census Tract 4070.01,1311.0,59.0,1426.0,79.0,1690.0,318.0
2019,603666,Baldwin Park,6037407002,Census Tract 4070.02,1463.0,319.0,1690.0,97.0,1893.0,87.0
2019,604870,Bell,6037532304,Census Tract 5323.04,687.0,66.0,1007.0,114.0,1219.0,73.0
2019,604870,Bell,6037533601,Census Tract 5336.01,888.0,92.0,1183.0,96.0,1454.0,68.0
2019,604870,Bell,6037533602,Census Tract 5336.02,917.0,52.0,1070.0,66.0,1248.0,130.0
2019,604870,Bell,6037533603,Census Tract 5336.03,832.0,41.0,1056.0,98.0,1356.0,75.0
2019,604870,Bell,6037533703,Census Tract 5337.03,924.0,34.0,1038.0,142.0,1568.0,310.0
2019,604870,Bell,6037533803,Census Tract 5338.03,905.0,67.0,1147.0,83.0,1406.0,77.0
2019,604870,Bell,6037533804,Census Tract 5338.04,850.0,71.0,966.0,46.0,1174.0,111.0
2019,604870,Bell,6037533805,Census Tract 5338.05,981.0,130.0,1233.0,112.0,1429.0,70.0
2019,604870,Bell,6037533806,Census Tract 5338.06,943.0,36.0,1110.0,149.0,1415.0,160.0
2019,604996,Bell Gardens,6037533901,Census Tract 5339.01,961.0,55.0,1151.0,50.0,1388.0,70.0
2019,604996,Bell Gardens,6037533902,Census Tract 5339.02,1007.0,66.0,1236.0,98.0,1641.0,115.0
2019,604996,Bell Gardens,6037534001,Census Tract 5340.01,908.0,65.0,1132.0,100.0,1386.0,51.0
2019,604996,Bell Gardens,6037534002,Census Tract 5340.02,1050.0,74.0,1292.0,135.0,1662.0,163.0
2019,604996,Bell Gardens,6037534101,Census Tract 5341.01,854.0,190.0,992.0,176.0,1351.0,108.0
2019,604996,Bell Gardens,6037534102,Census Tract 5341.02,969.0,34.0,1151.0,59.0,1370.0,57.0
2019,604996,Bell Gardens,6037534201,Census Tract 5342.01,849.0,53.0,1181.0,125.0,1489.0,104.0
2019,604996,Bell Gardens,6037534202,Census Tract 5342.02,804.0,230.0,1180.0,113.0,1472.0,123.0
2019,604996,Bell Gardens,6037534203,Census Tract 5342.03,732.0,176.0,1108.0,58.0,1338.0,84.0
2019,604982,Bellflower,6037551900,Census Tract 5519,1071.0,104.0,1362.0,347.0,2042.0,428.0
2019,604982,Bellflower,6037553000,Census Tract 5530,999.0,692.0,1587.0,273.0,1995.0,322.0
2019,604982,Bellflower,6037553100,Census Tract 5531,1448.0,120.0,1725.0,70.0,1980.0,98.0
2019,604982,Bellflower,6037553200,Census Tract 5532,1029.0,102.0,1299.0,222.0,2064.0,222.0
2019,604982,Bellflower,6037553300,Census Tract 5533,544.0,138.0,703.0,152.0,859.0,498.0
2019,604982,Bellflower,6037554001,Census Tract 5540.01,1024.0,164.0,1229.0,233.0,1843.0,412.0
2019,604982,Bellflower,6037554002,Census Tract 5540.02,1047.0,60.0,1249.0,94.0,1585.0,146.0
2019,604982,Bellflower,6037554101,Census Tract 5541.01,1035.0,71.0,1209.0,95.0,1483.0,198.0
2019,604982,Bellflower,6037554103,Census Tract 5541.03,1284.0,197.0,1590.0,162.0,1854.0,115.0
2019,604982,Bellflower,6037554104,Census Tract 5541.04,938.0,72.0,1182.0,82.0,1548.0,176.0
2019,604982,Bellflower,6037554105,Census Tract 5541.05,1101.0,43.0,1290.0,45.0,1452.0,33.0
2019,604982,Bellflower,6037554201,Census Tract 5542.01,1097.0,81.0,1294.0,145.0,1666.0,209.0
2019,604982,Bellflower,6037554203,Census Tract 5542.03,895.0,84.0,995.0,66.0,1322.0,143.0
2019,604982,Bellflower,6037554204,Census Tract 5542.04,907.0,60.0,1103.0,57.0,1372.0,88.0
2019,604982,Bellflower,6037554301,Census Tract 5543.01,1275.0,101.0,1434.0,85.0,1696.0,122.0
2019,604982,Bellflower,6037554302,Census Tract 5543.02,1054.0,105.0,1337.0,157.0,1712.0,149.0
2019,604982,Bellflower,6037554403,Census Tract 5544.03,1028.0,85.0,1333.0,72.0,1640.0,119.0
2019,604982,Bellflower,6037554404,Census Tract 5544.04,1129.0,83.0,1381.0,104.0,1718.0,138.0
2019,604982,Bellflower,6037554405,Census Tract 5544.05,966.0,48.0,1222.0,150.0,1682.0,95.0
2019,604982,Bellflower,6037554406,Census Tract 5544.06,1021.0,113.0,1250.0,144.0,1614.0,207.0
2019,606308,Beverly Hills,6037261101,Census Tract 2611.01,1120.0,213.0,1570.0,819.0,2597.0,768.0
2019,606308,Beverly Hills,6037261102,Census Tract 2611.02,1283.0,1156.0,1463.0,1101.0,2222.0,684.0
2019,606308,Beverly Hills,6037265100,Census Tract 2651,2111.0,578.0,2456.0,1097.0,3501.0,
2019,606308,Beverly Hills,6037269000,Census Tract 2690,1211.0,141.0,1778.0,396.0,3215.0,180.0
2019,606308,Beverly Hills,6037700501,Census Tract 7005.01,1089.0,261.0,1492.0,167.0,1979.0,234.0
2019,606308,Beverly Hills,6037700600,Census Tract 7006,1719.0,321.0,1939.0,1686.0,3158.0,1069.0
2019,606308,Beverly Hills,6037700700,Census Tract 7007,1649.0,1606.0,,,3233.0,1737.0
2019,606308,Beverly Hills,6037700801,Census Tract 7008.01,1436.0,363.0,2602.0,260.0,3228.0,199.0
2019,606308,Beverly Hills,6037700802,Census Tract 7008.02,1349.0,146.0,1838.0,144.0,2372.0,131.0
2019,606308,Beverly Hills,6037700901,Census Tract 7009.01,1596.0,81.0,1908.0,117.0,2668.0,545.0
2019,606308,Beverly Hills,6037700902,Census Tract 7009.02,1750.0,105.0,2287.0,172.0,2985.0,244.0
2019,606308,Beverly Hills,6037701000,Census Tract 7010,1637.0,151.0,2160.0,187.0,2655.0,240.0
2019,607946,Bradbury,6037430200,Census Tract 4302,1328.0,1252.0,2516.0,1538.0,3501.0,
2019,608954,Burbank,6037123103,Census Tract 1231.03,1016.0,171.0,1244.0,110.0,1605.0,144.0
2019,608954,Burbank,6037310100,Census Tract 3101,1842.0,401.0,2181.0,283.0,2457.0,337.0
2019,608954,Burbank,6037310201,Census Tract 3102.01,1206.0,148.0,1603.0,200.0,1986.0,211.0
2019,608954,Burbank,6037310202,Census Tract 3102.02,1327.0,177.0,1728.0,131.0,2292.0,344.0
2019,608954,Burbank,6037310300,Census Tract 3103,3455.0,482.0,3501.0,,3501.0,
2019,608954,Burbank,6037310400,Census Tract 3104,1112.0,127.0,1464.0,219.0,1861.0,157.0
2019,608954,Burbank,6037310501,Census Tract 3105.01,1155.0,65.0,1418.0,81.0,2087.0,233.0
2019,608954,Burbank,6037310601,Census Tract 3106.01,1121.0,107.0,1468.0,160.0,1887.0,132.0
2019,608954,Burbank,6037310602,Census Tract 3106.02,1334.0,170.0,1698.0,104.0,2038.0,180.0
2019,608954,Burbank,6037310701,Census Tract 3107.01,406.0,92.0,990.0,133.0,1474.0,129.0
2019,608954,Burbank,6037310702,Census Tract 3107.02,1216.0,138.0,1489.0,75.0,1866.0,61.0
2019,608954,Burbank,6037310703,Census Tract 3107.03,1143.0,97.0,1396.0,63.0,1696.0,101.0
2019,608954,Burbank,6037310800,Census Tract 3108,1043.0,79.0,1271.0,103.0,1611.0,207.0
2019,608954,Burbank,6037310900,Census Tract 3109,1271.0,128.0,1546.0,209.0,2056.0,347.0
2019,608954,Burbank,6037311000,Census Tract 3110,1064.0,113.0,1570.0,238.0,2022.0,294.0
2019,608954,Burbank,6037311100,Census Tract 3111,995.0,145.0,1256.0,181.0,1711.0,882.0
2019,608954,Burbank,6037311200,Census Tract 3112,1149.0,76.0,1481.0,218.0,1979.0,280.0
2019,608954,Burbank,6037311300,Census Tract 3113,1440.0,224.0,1843.0,194.0,2405.0,328.0
2019,608954,Burbank,6037311400,Census Tract 3114,1330.0,153.0,1779.0,226.0,2470.0,453.0
2019,608954,Burbank,6037311500,Census Tract 3115,1315.0,126.0,1700.0,196.0,2215.0,162.0
2019,608954,Burbank,6037311600,Census Tract 3116,1565.0,52.0,1822.0,53.0,2203.0,150.0
2019,608954,Burbank,6037311700,Census Tract 3117,1325.0,137.0,1652.0,103.0,1944.0,234.0
2019,608954,Burbank,6037311801,Census Tract 3118.01,1218.0,121.0,1411.0,61.0,1700.0,106.0
2019,608954,Burbank,6037311802,Census Tract 3118.02,1244.0,89.0,1509.0,98.0,1798.0,56.0
2019,608954,Burbank,6037980001,Census Tract 9800.01,,,,,,
2019,609598,Calabasas,6037137402,Census Tract 1374.02,1518.0,731.0,2239.0,304.0,2762.0,605.0
2019,609598,Calabasas,6037800101,Census Tract 8001.01,,,3368.0,2159.0,3501.0,
2019,609598,Calabasas,6037800102,Census Tract 8001.02,1225.0,617.0,2522.0,851.0,3501.0,
2019,609598,Calabasas,6037800202,Census Tract 8002.02,3501.0,,3501.0,,3501.0,
2019,609598,Calabasas,6037800203,Census Tract 8002.03,1978.0,175.0,2280.0,107.0,2746.0,362.0
2019,609598,Calabasas,6037800204,Census Tract 8002.04,2147.0,653.0,2671.0,354.0,3090.0,489.0
2019,609598,Calabasas,6037800328,Census Tract 8003.28,1732.0,158.0,2092.0,236.0,2492.0,237.0
2019,609598,Calabasas,6037800329,Census Tract 8003.29,1885.0,164.0,2254.0,168.0,2706.0,349.0
2019,611530,Carson,6037291300,Census Tract 2913,914.0,350.0,1178.0,218.0,2072.0,350.0
2019,611530,Carson,6037294110,Census Tract 2941.10,854.0,23.0,956.0,152.0,1368.0,229.0
2019,611530,Carson,6037541002,Census Tract 5410.02,763.0,94.0,1036.0,863.0,2650.0,1945.0
2019,611530,Carson,6037543100,Census Tract 5431,833.0,559.0,1207.0,177.0,1494.0,246.0
2019,611530,Carson,6037543202,Census Tract 5432.02,959.0,52.0,1293.0,131.0,1540.0,177.0
2019,611530,Carson,6037543304,Census Tract 5433.04,1781.0,1565.0,2588.0,665.0,3101.0,560.0
2019,611530,Carson,6037543306,Census Tract 5433.06,1551.0,171.0,1887.0,196.0,2302.0,233.0
